Item,Frequency
rien,2369580
là,2363013
point,2358418
moi,2351449
ligne,2347685
permet,2342279
part,2324387
6,2320615
compte,2311008
ici,2296680
pendant,2292135
mise,2287051
afin,2282138
aujourd''hui,2267769
état,2256284
notamment,2226520
petit,2224694
but,2202812
politique,2193437
dire,2193000
modifier,2179417
eau,2178767
lieu,2177869
homme,2174458
trop,2170596
pages,2165918
droit,2150705
peuvent,2135498
ensemble,2134558
recherche,2129305
certains,2128442
nombre,2126992
société,2115218
directement,2094346
enfants,2091078
ceux,2089399
jours,2073155
service,2067718
niveau,2056393
partir,2035455
souvent,2013901
système,2012150
l''on,1989716
jamais,1979051
reste,1952967
contenu,1950481
fut,1947357
mes,1937841
celui,1908652
dernier,1894622
mettre,1894244
question,1886596
avons,1881330
7,1878256
objectifs,1859118
ailleurs,1847035
jeu,1841663
pouvoir,1837779
développement,1833613
maison,1829895
bonne,1826738
moment,1821410
rapport,1819070
8,1812038
20,1810107
qualité,1804684
janvier,1800839
tant,1782992
centre,1768884
mieux,1765124
grâce,1750947
loi,1744428
ni,1739885
surtout,1737823
siècle,1736563
produits,1729222
formation,1728247
juin,1717412
wikipédia,1716057
mars,1712845
personne,1700497
0,1697445
dès,1691705
jusqu''à,1690116
15,1689247
titre,1682409
savoir,1681941
p,1681273
famille,1679923
général,1678169
2017,1672455
données,1668958
guerre,1668424
décembre,1667652
celle,1659764
mai,1658424
eu,1656299
lire,1651253
possible,1649221
septembre,1648182
demande,1642033
cadre,1639140
2015,1639022
enfin,1636921
trouve,1625487
services,1611340
octobre,1610377
avez,1608162
30,1606469
étaient,1604435
parce,1593883
public,1592197
seul,1586313
équipe,1585621
novembre,1582352
sens,1581831
entreprise,1571043
président,1566510
base,1565794
s,1563763
début,1559765
=,1548073
visiter,1547826
seulement,1542977
m.,1537166
face,1534848
juillet,1534109
the,1533783
comporte,1533662
nationale,1526069
merci,1516232
française,1513692
film,1512526
nombreux,1508128
coordination,1506578
2016,1497809
ayant,1491075
12,1482790
mort,1477113
€,1477024
pourquoi,1474060
région,1472539
chose,1470636
devant,1469672
près,1465837
avril,1462044
mal,1458395
santé,1455857
petite,1454503
étant,1452881
ensuite,1452513
côté,1442985
livre,1436818
commune,1436223
vraiment,1433406
serait,1428238
enrichir,1427792
vue,1427664
saisir,1424622
2014,1423159
lorsque,1419931
mis,1407294
façon,1405916
corps,1402609
assez,1400246
contributeurs,1397888
type,1396765
aidant,1392372
tour,1389787
femme,1388928
agit,1388182
euros,1387398
&,1387135
choix,1384435
9,1381638
différents,1378411
femmes,1377191
propose,1376048
sécurité,1375760
manière,1374549
autant,1373804
2012,1370702
vu,1362219
eux,1356862
font,1356301
informations,1353922
accomplir,1353641
jeunes,1347453
entreprises,1346453
jeune,1343321
europe,1342236
hommes,1332445
plan,1330339
2013,1320435
simple,1317694
dieu,1315999
sauvegarder,1315490
nouvelles,1312792
gestion,1311540
puces,1311346
·,1308883
terre,1302868
marché,1296983
sujet,1295499
version,1294433
juste,1289239
quatre,1288377
code,1287198
gouvernement,1285549
partager,1280223
produit,1276767
internet,1273779
fonction,1270423
février,1269831
programme,1269664
école,1267592
problème,1265974
+,1265690
création,1264634
besoin,1263473
suggérées,1262755
2010,1259521
2011,1258429
raison,1255363
situation,1255356
quoi,1252221
association,1249378
1er,1245004
offre,1243190
seront,1241450
autour,1241102
conditions,1238436
plutôt,1238357
connaissances,1236030
trouver,1234669
11,1232305
aucun,1229674
long,1225827
heures,1225079
action,1224988
maintenant,1223565
travaux,1219481
c,1217125
national,1213983
*,1213470
oui,1209209
millions,1198872
semble,1198600
activité,1198244
université,1194340
août,1192796
mesure,1192476
série,1192364
parfois,1191749
sud,1190933
certaines,1187572
membres,1186003
or,1185504
population,1184385
cependant,1180200
information,1179048
dernière,1178941
donner,1178130
m,1177499
tête,1173910
section,1173866
réseau,1173825
haut,1169973
14,1169719
donne,1167179
pierre,1166920
concernant,1164782
coup,1163030
nord,1161865
18,1156554
quelque,1156439
seule,1154227
production,1151907
porte,1150819
espace,1150126
an,1150039
25,1147543
ordre,1142627
international,1142369
aurait,1140962
rôle,1140269
13,1140142
accès,1139980
origine,1139455
grands,1139390
points,1138785
nature,1136679
passer,1133283
|,1131466
passe,1128555
travers,1128265
texte,1126832
environ,1126763
parmi,1126064
différentes,1119552
sommes,1118647
etc.,1117812
musique,1116934
utilisation,1113480
enfant,1113240
terme,1111719
rue,1109234
16,1107832
sein,1102964
cause,1099888
consulté,1095043
te,1093693
jeux,1089615
pratique,1089205
activités,1085631
2009,1084542
pourrait,1084442
pu,1083569
prise,1080802
présente,1079184
nombreuses,1078058
>,1076959
existe,1075898
nouveaux,1075147
vient,1075136
date,1074769
études,1070578
pris,1070408
air,1070011
laquelle,1069128
aucune,1066431
articles,1065767
période,1064647
retour,1063524
mode,1057236
2008,1057023
fils,1056721
père,1055579
aller,1053561
gens,1052490
domaine,1052416
image,1050849
idée,1048763
peut-être,1046977
droits,1045673
ton,1044168
matière,1042923
charge,1042090
jean,1041263
art,1040459
culture,1039246
of,1038875
époque,1038605
occasion,1038219
loin,1036456
carte,1035410
objet,1031784
salle,1031368
quel,1031256
particulier,1027443
œuvre,1027229
utiliser,1023143
17,1021786
saison,1021192
durant,1020811
pense,1020656
direction,1019676
ministre,1019434
veut,1017738
bois,1013850
étude,1012949
belle,1010661
expérience,1010131
deuxième,1008084
auteur,1006886
avis,1004228
choses,1003276
doivent,1001889
petits,1001098
2007,1000636
questions,993287
journée,988427
100,985723
semaine,982352
important,979546
24,978322
main,977863
chacun,976914
abord,976268
propre,975212
ancien,973594
vidéo,972530
passé,969982
organisation,969698
résultats,968146
parti,967387
modèle,965041
....,964642
fort,964068
moyen,962966
lien,962327
pourtant,955974
environnement,955059
communes,953745
tard,951853
accord,951244
avaient,949667
valeur,945440
emploi,944470
esprit,944011
application,941448
gauche,940731
risque,938358
devient,937797
cinq,936104
vrai,935615
sociale,928647
prend,928621
force,927765
économique,927605
chef,926863
nécessaire,926769
politiques,926646
b,923532
anglais,923274
doute,920467
2006,919439
grandes,917016
habitants,912258
créer,911208
tel,908213
source,907347
21,906793
êtes,906397
genre,906237
50,902991
malgré,901607
scène,901281
mouvement,900234
commission,899869
sites,898378
aura,898301
recommandations,898048
technique,897670
n,896702
intérieur,895351
auprès,894719
fille,893818
référence,892310
milieu,891837
construction,891431
nuit,888437
améliorant,887450
village,887383
19,887103
écrit,882732
présent,881514
marque,881399
x,879338
protection,877221
présence,875764
église,873136
gros,869316
club,869249
techniques,867692
cest,866469
22,866360
né,865230
objectif,864903
contrôle,862861
âge,862252
saint,860101
territoire,856922
découvrir,856109
km,854102
parler,853620
particulièrement,852950
énergie,852888
rencontre,852115
désormais,850786
donné,848950
éléments,848605
rendre,845834
amour,845028
intérêt,843601
classe,843193
taux,842577
route,841981
web,841903
bienvenue,841546
mot,841209
meilleur,841001
premiers,838789
secteur,838703
heure,838017
bonjour,837257
département,836846
quelle,835831
directeur,835202
élèves,834553
européenne,834038
vont,832343
analyse,831965
minutes,830433
appel,830103
langue,826900
bibliothèque,826497
vide,826313
lequel,825937
seconde,825454
voici,822747
plein,822250
édition,821373
attention,821137
avais,819441
photo,818775
h,815650
vente,815581
photos,815488
réponse,815213
fond,815047
zone,813490
générale,812445
mer,812147
23,811021
argent,810922
e,810588
roi,809703
traitement,809410
communauté,809119
droite,805537
affaires,805416
simplement,802578
république,802328
publique,801244
rapidement,799559
union,798911
comprendre,798116
entrée,797409
bas,794256
compris,794214
met,793173
social,792386
aime,789009
in,787866
libre,787609
historique,785550
taille,785430
communication,783706
durée,778116
départ,777553
t'',777535
cœur,777282
quant,774670
plaisir,774462
yeux,769374
sais,767100
chambre,766352
moyens,766002
clients,765266
mots,765151
unique,764183
solution,764112
sources,763490
ressources,759043
actions,757767
auteurs,756425
voix,755170
etat,755079
as,754328
sortie,754327
celles,753580
blanc,753544
presque,752463
difficile,748712
sciences,748286
26,747109
mission,745894
vite,743076
problèmes,742637
permettant,742137
28,741771
succès,741431
puisque,741317
sûr,740222
est-ce,740103
contrat,739259
professionnels,739230
mère,738838
plupart,736237
soir,736193
devrait,734703
réalité,734382
vivre,733833
noir,732309
passage,731237
comité,728211
27,725158
voit,724577
évolution,724068
aider,723809
permis,723258
situé,722318
terrain,721803
ca,720385
amis,719123
ministère,718818
poste,718113
frais,718108
couleur,717463
images,716528
rouge,713864
suivi,713687
accueil,713456
permettre,711702
soient,711301
correspondants,709846
parents,708676
longtemps,708231
pratiques,707380
parle,706142
troisième,705077
album,702851
actuellement,702716
{,700897
sait,700737
membre,699762
},699529
hors,697206
véritable,696929
utilisé,696265
connaître,696101
processus,695198
n°,695049
cour,694726
2005,693798
40,690184
presse,690004
double,689427
possibilité,688861
présentation,688804
obtenir,688791
mondiale,688152
économie,687936
lecture,686672
armée,685811
groupes,685738
adresse,685437
position,685141
lumière,684157
note,683884
toutefois,682037
toi,681161
éviter,681124
françois,680256
ii,679319
telle,677855
pièces,676421
certain,676374
jouer,673434
internationale,672955
liens,671835
large,670599
besoins,670224
arrive,670129
principe,669416
autorité,668536
connu,667419
voilà,666928
décision,666549
liberté,665555
peux,662814
facile,662583
\,662333
style,661692
voyage,660803
mesures,660641
outils,659953
chemin,659500
propos,659318
dernières,657770
29,657686
voie,655432
dossier,655259
suivant,654807
2018,654501
enseignement,654182
éducation,650895
personnel,650069
second,649176
moyenne,648134
règles,646101
répondre,646042
régime,644981
fonds,644886
campagne,644570
venir,643650
justice,643649
via,642825
devenir,640927
faisant,640405
parc,638923
haute,638124
vais,637972
acteurs,636979
beau,636562
manque,636559
responsable,636084
détaillée,635963
cm,635843
qu,634642
lui-même,630506
théâtre,630486
six,629946
petites,628604
sport,628242
disponible,628238
montre,627681
matin,627198
musée,626541
derniers,625749
°,625733
laisser,623869
i,623612
assurer,623437
celui-ci,623133
cuisine,622167
réaliser,622097
proche,621767
publics,621685
2000,621565
publié,621165
ouverture,620808
sorte,620460
située,620288
réalisé,619833
mémoire,618218
états-unis,617946
commence,617554
peuple,616895
permettent,616735
ouvrage,616473
usage,615898
message,615399
annonce,614962
puissance,614785
relation,614618
fichier,613596
outre,613113
lieux,612530
premières,612101
résultat,611025
bout,610079
étudiants,610039
ait,609754
livres,609034
no,608185
pied,606690
finalement,606665
connaissance,606484
rapide,606400
faites,605640
sol,604981
disposition,603732
commerce,602267
afrique,598367
suivre,598359
visite,597534
parties,597140
mètres,596352
affaire,596312
relations,594448
31,594222
client,594119
forte,594002
2004,593664
envie,593168
soleil,592255
hôtel,591773
bureau,591135
numéro,589217
--,589017
univers,588810
crise,588794
peine,588769
ajouter,588137
couleurs,588126
mêmes,587535
meilleure,586991
administration,585504
changement,584739
incomplète,583889
